name	contigs_db_path
Alteromonas_sp_CPC94	2802429357.db
Alteromonas_sp_MED668	2802429358.db
Alteromonas_sp_MED681	2802429381.db
Alteromonas_sp_NAT174	2802429382.db
Alteromonas_sp_NP46	2802429384.db
Alteromonas_sp_RS411	2802429385.db
Alteromonas_sp_NP15	2802429386.db
Alteromonas_sp_IN32	2802429353.db
Alteromonas_macleodii_SAMN07137114	BATS_SAMN07137114_METAG_HCBNBPJK-contigs.db
Alteromonas_macleodii_SAMN07136589	BGEO_SAMN07136589_METAG_DDMJICEB-contigs.db
Alteromonas_australica_SAMN07136708	BGEO_SAMN07136708_METAG_KMOHFEJM-contigs.db
Alteromonas_sp_SAMN07136709	BGEO_SAMN07136709_METAG_OCCKODGL-contigs.db
Alteromonas_australica_SAMN07136710	BGEO_SAMN07136710_METAG_AFAMJGBL-contigs.db
Alteromonas_mediterranea_SAMN07136710	BGEO_SAMN07136710_METAG_KAKDCGPF-contigs.db
Alteromonas_naphthalenivorans_SAMN07136711	BGEO_SAMN07136711_METAG_EOPKMDLC-contigs.db
Alteromonas_macleodii_SAMN07136711	BGEO_SAMN07136711_METAG_NHALNJBN-contigs.db
Alteromonas_sp_SAMN07136715	BGEO_SAMN07136715_METAG_KOEDIAMF-contigs.db
Alteromonas_macleodii_SAMN07136718	BGEO_SAMN07136718_METAG_FMLMDJCG-contigs.db
Alteromonas_macleodii_SAMN05421563	MALA_SAMN05421563_METAG_OGDDIGDA-contigs.db
Alteromonas_macleodii_SAMN05421660	MALA_SAMN05421660_METAG_BCLNBHCC-contigs.db
Alteromonas_macleodii_SAMN05421699	MALA_SAMN05421699_METAG_LKMOJPCD-contigs.db
Alteromonas_macleodii_SAMN05421706	MALA_SAMN05421706_METAG_CKJAFDPA-contigs.db
Alteromonas_macleodii_SAMN05421707	MALA_SAMN05421707_METAG_GFCKOHMB-contigs.db
Alteromonas_macleodii_SAMN05421901	MALA_SAMN05421901_METAG_KALOONEP-contigs.db
Alteromonas_macleodii_SAMN05421913	MALA_SAMN05421913_METAG_FAHHIFON-contigs.db
Alteromonas_australica_SAMN05422104	MALA_SAMN05422104_METAG_FCEGNAFB-contigs.db
Alteromonas_macleodii_SAMN05422104	MALA_SAMN05422104_METAG_PHLAGPEP-contigs.db
Alteromonas_macleodii_SAMN05422106	MALA_SAMN05422106_METAG_IKNIELCH-contigs.db
Alteromonas_macleodii_SAMN05422107	MALA_SAMN05422107_METAG_FBOLMPMJ-contigs.db
Alteromonas_macleodii_SAMN05422110	MALA_SAMN05422110_METAG_AHCIDJHN-contigs.db
Alteromonas_macleodii_SAMN05422113	MALA_SAMN05422113_METAG_BGGGCIFH-contigs.db
Alteromonas_macleodii_SAMN05422114	MALA_SAMN05422114_METAG_HDMCNFBK-contigs.db
Alteromonas_macleodii_SAMN05422115	MALA_SAMN05422115_METAG_EILAGLKN-contigs.db
Alteromonas_macleodii_SAMN05422117	MALA_SAMN05422117_METAG_EAAGNDHC-contigs.db
Alteromonas_confluentis_SAMN05422120	MALA_SAMN05422120_METAG_BOFCDAAO-contigs.db
Alteromonas_macleodii_SAMN05422120	MALA_SAMN05422120_METAG_GPIHLFDL-contigs.db
Alteromonas_sp_SAMN05422120	MALA_SAMN05422120_METAG_NDMHKPKD-contigs.db
Alteromonas_macleodii_SAMN05422121	MALA_SAMN05422121_METAG_EKAOPGOL-contigs.db
Alteromonas_australica_SAMN05422121	MALA_SAMN05422121_METAG_OGAMKLHO-contigs.db
Alteromonas_macleodii_SAMN05422122	MALA_SAMN05422122_METAG_JKIINEFM-contigs.db
Alteromonas_macleodii_SAMN05422123	MALA_SAMN05422123_METAG_AHNLNHFL-contigs.db
Alteromonas_macleodii_SAMN05422127	MALA_SAMN05422127_METAG_GFKECADP-contigs.db
Alteromonas_macleodii_SAMN05422128	MALA_SAMN05422128_METAG_GFOMCGFD-contigs.db
Alteromonas_sp_SAMN05422130	MALA_SAMN05422130_METAG_DBLLJBCG-contigs.db
Alteromonas_macleodii_SAMN05422130	MALA_SAMN05422130_METAG_LKGLPHMF-contigs.db
Alteromonas_macleodii_SAMN05422133	MALA_SAMN05422133_METAG_NBFINJIH-contigs.db
Alteromonas_macleodii_SAMN05422138	MALA_SAMN05422138_METAG_COKPJGJJ-contigs.db
Alteromonas_macleodii_SAMN05422143	MALA_SAMN05422143_METAG_FOMAMBOG-contigs.db
Alteromonas_macleodii_SAMN05422149	MALA_SAMN05422149_METAG_GLMHGCOP-contigs.db
Alteromonas_macleodii_SAMN05422152	MALA_SAMN05422152_METAG_HBNHKFJL-contigs.db
Alteromonas_macleodii_SAMN05422153	MALA_SAMN05422153_METAG_NIGOHOLK-contigs.db
Alteromonas_macleodii_SAMN05422164	MALA_SAMN05422164_METAG_ENHHGIGI-contigs.db
Alteromonas_mediterranea_SAMN05422165	MALA_SAMN05422165_METAG_JAPLNBCC-contigs.db
Alteromonas_macleodii_SAMN05422165	MALA_SAMN05422165_METAG_PMFBPPCL-contigs.db
Alteromonas_macleodii_SAMN05422168	MALA_SAMN05422168_METAG_KJDAIKNE-contigs.db
Alteromonas_macleodii_SAMN05422169	MALA_SAMN05422169_METAG_JIKBLNIN-contigs.db
Alteromonas_macleodii_SAMN05422183	MALA_SAMN05422183_METAG_FCADMKDN-contigs.db
Alteromonas_macleodii_SAMN05422188	MALA_SAMN05422188_METAG_NPFLJJIF-contigs.db
Alteromonas_macleodii_SAMN05422191	MALA_SAMN05422191_METAG_FAHFBJCK-contigs.db
Alteromonas_macleodii_SAMN05422195	MALA_SAMN05422195_METAG_GNIPIPMH-contigs.db
Alteromonas_macleodii_SAMN05422226	MALA_SAMN05422226_METAG_LFOGBKLO-contigs.db
Alteromonas_macleodii_SAMN05578452	MARD_SAMN05578452_REFG_MMP05578452-contigs.db
Alteromonas_gracilis_SAMN07626136	MARD_SAMN07626136_REFG_MMP07626136-contigs.db
Alteromonas_sp_SAMN10134660	MARD_SAMN10134660_REFG_MMP10134660-contigs.db
Alteromonas_sp_SAMN10233659	MARD_SAMN10233659_REFG_MMP10233659-contigs.db
Alteromonas_sp_SAMEA2591057	TARA_SAMEA2591057_METAG_JFGAADBD-contigs.db
Alteromonas_sp_SAMEA2591074_BGMPHGLH	TARA_SAMEA2591074_METAG_BGMPHGLH-contigs.db
Alteromonas_sp_SAMEA2591074	TARA_SAMEA2591074_METAG_CINEHBFE-contigs.db
Alteromonas_mediterranea_SAMEA2591074	TARA_SAMEA2591074_METAG_KDMPNFOL-contigs.db
Alteromonas_macleodii_SAMEA2591098	TARA_SAMEA2591098_METAG_ELBPFDCK-contigs.db
Alteromonas_mediterranea_SAMEA2591132	TARA_SAMEA2591132_METAG_GGHCBOPN-contigs.db
Alteromonas_australica_SAMEA2591132	TARA_SAMEA2591132_METAG_KHLCFNJJ-contigs.db
Alteromonas_macleodii_SAMEA2619678	TARA_SAMEA2619678_METAG_EIFLFJDP-contigs.db
Alteromonas_macleodii_SAMEA2619907	TARA_SAMEA2619907_METAG_NBBOJICC-contigs.db
Alteromonas_macleodii_SAMEA2619952	TARA_SAMEA2619952_METAG_EMJBGBGK-contigs.db
Alteromonas_macleodii_SAMEA2619970	TARA_SAMEA2619970_METAG_GKNKAGAI-contigs.db
Alteromonas_macleodii_SAMEA2620000	TARA_SAMEA2620000_METAG_KDOCHGCC-contigs.db
Alteromonas_macleodii_SAMEA2620021	TARA_SAMEA2620021_METAG_NHAIJEJL-contigs.db
Alteromonas_macleodii_SAMEA2620035	TARA_SAMEA2620035_METAG_KKMHIJLM-contigs.db
Alteromonas_macleodii_SAMEA2620065	TARA_SAMEA2620065_METAG_EFBPEMOE-contigs.db
Alteromonas_australica_SAMEA2620065	TARA_SAMEA2620065_METAG_OKKLCHLP-contigs.db
Alteromonas_macleodii_SAMEA2620097	TARA_SAMEA2620097_METAG_LMDFIENN-contigs.db
Alteromonas_macleodii_SAMEA2620194	TARA_SAMEA2620194_METAG_JCEANMAI-contigs.db
Alteromonas_australica_SAMEA2620198	TARA_SAMEA2620198_METAG_KLFKEFEP-contigs.db
Alteromonas_mediterranea_SAMEA2620198	TARA_SAMEA2620198_METAG_NOKDNNFF-contigs.db
Alteromonas_australica_SAMEA2620217	TARA_SAMEA2620217_METAG_KNGANELN-contigs.db
Alteromonas_macleodii_SAMEA2620217	TARA_SAMEA2620217_METAG_OENHAHFA-contigs.db
Alteromonas_macleodii_SAMEA2620259	TARA_SAMEA2620259_METAG_OHBFMFFC-contigs.db
Alteromonas_macleodii_SAMEA2620413	TARA_SAMEA2620413_METAG_HJGOFLNN-contigs.db
Alteromonas_macleodii_SAMEA2620542	TARA_SAMEA2620542_METAG_MEOGFAGI-contigs.db
Alteromonas_macleodii_SAMEA2620734	TARA_SAMEA2620734_METAG_NONNIGNP-contigs.db
Alteromonas_macleodii_SAMEA2620815	TARA_SAMEA2620815_METAG_EEKNENIE-contigs.db
Alteromonas_macleodii_SAMEA2620828	TARA_SAMEA2620828_METAG_NCPOODDG-contigs.db
Alteromonas_macleodii_SAMEA2620882	TARA_SAMEA2620882_METAG_GFDHHHGO-contigs.db
Alteromonas_australica_SAMEA2620882	TARA_SAMEA2620882_METAG_GJEPBGGD-contigs.db
Alteromonas_australica_SAMEA2620995	TARA_SAMEA2620995_METAG_BFDFBIKP-contigs.db
Alteromonas_macleodii_SAMEA2620995	TARA_SAMEA2620995_METAG_JALHFPLJ-contigs.db
Alteromonas_australica_SAMEA2621013	TARA_SAMEA2621013_METAG_FHBCEPPH-contigs.db
Alteromonas_australica_SAMEA2621020	TARA_SAMEA2621020_METAG_DGKNMHLE-contigs.db
Alteromonas_australica_SAMEA2621021	TARA_SAMEA2621021_METAG_JAJGGMJP-contigs.db
Alteromonas_macleodii_SAMEA2621021	TARA_SAMEA2621021_METAG_MKIGFGMC-contigs.db
Alteromonas_australica_SAMEA2621037	TARA_SAMEA2621037_METAG_BOIEAKJP-contigs.db
Alteromonas_macleodii_SAMEA2621037	TARA_SAMEA2621037_METAG_GHKOIDBF-contigs.db
Alteromonas_macleodii_SAMEA2621044	TARA_SAMEA2621044_METAG_JOAMDGOD-contigs.db
Alteromonas_australica_SAMEA2621044	TARA_SAMEA2621044_METAG_NOLHAABM-contigs.db
Alteromonas_australica_SAMEA2621045	TARA_SAMEA2621045_METAG_OHODKCPK-contigs.db
Alteromonas_australica_SAMEA2621066	TARA_SAMEA2621066_METAG_EHDOKGKK-contigs.db
Alteromonas_sp_SAMEA2621076	TARA_SAMEA2621076_METAG_AJABBKHB-contigs.db
Alteromonas_australica_SAMEA2621076	TARA_SAMEA2621076_METAG_GINCPJEM-contigs.db
Alteromonas_macleodii_SAMEA2621076	TARA_SAMEA2621076_METAG_KBKFGPDA-contigs.db
Alteromonas_sp_SAMEA2621092	TARA_SAMEA2621092_METAG_COOHPKLC-contigs.db
Alteromonas_australica_SAMEA2621092	TARA_SAMEA2621092_METAG_JEDFGNEM-contigs.db
Alteromonas_australica_SAMEA2621099	TARA_SAMEA2621099_METAG_AKPJHAOI-contigs.db
Alteromonas_macleodii_SAMEA2621099	TARA_SAMEA2621099_METAG_HKJHHJDF-contigs.db
Alteromonas_australica_SAMEA2621101	TARA_SAMEA2621101_METAG_LOPADGMB-contigs.db
Alteromonas_australica_SAMEA2621132	TARA_SAMEA2621132_METAG_LILFEADH-contigs.db
Alteromonas_australica_SAMEA2621155	TARA_SAMEA2621155_METAG_BMEOCPIO-contigs.db
Alteromonas_macleodii_SAMEA2621155	TARA_SAMEA2621155_METAG_FAPDAFJA-contigs.db
Alteromonas_australica_SAMEA2621176	TARA_SAMEA2621176_METAG_JENGLJNG-contigs.db
Alteromonas_macleodii_SAMEA2621204	TARA_SAMEA2621204_METAG_BCMHBGAK-contigs.db
Alteromonas_australica_SAMEA2621204	TARA_SAMEA2621204_METAG_JIFCLNHI-contigs.db
Alteromonas_macleodii_SAMEA2622695	TARA_SAMEA2622695_METAG_CLGIMKPC-contigs.db
Alteromonas_australica_SAMEA2622695	TARA_SAMEA2622695_METAG_ILPHFPJJ-contigs.db
Alteromonas_sp_SAMEA2622695	TARA_SAMEA2622695_METAG_NDMJOCCC-contigs.db
Alteromonas_australica_SAMEA2622696	TARA_SAMEA2622696_METAG_FJMHLBNK-contigs.db
Alteromonas_macleodii_SAMEA2621232	TARA_SAMEA2621232_METAG_EBHOLINI-contigs.db
Alteromonas_australica_SAMEA2621232	TARA_SAMEA2621232_METAG_LHMCJHIB-contigs.db
Alteromonas_australica_SAMEA2621242	TARA_SAMEA2621242_METAG_MFCNHMLF-contigs.db
Alteromonas_sp_SAMEA2621204	TARA_SAMEA2621204_METAG_MFMAAAAC-contigs.db
Alteromonas_australica_SAMEA2621216	TARA_SAMEA2621216_METAG_ANKHBPBN-contigs.db
Alteromonas_sp_SAMEA2621216	TARA_SAMEA2621216_METAG_KOELIADL-contigs.db
Alteromonas_sp_SAMEA2621222	TARA_SAMEA2621222_METAG_NKFAIACL-contigs.db
Alteromonas_macleodii_SAMEA2621260	TARA_SAMEA2621260_METAG_POCDJBFE-contigs.db
Alteromonas_macleodii_SAMEA2621287	TARA_SAMEA2621287_METAG_MNDFFPHI-contigs.db
Alteromonas_australica_SAMEA2621295	TARA_SAMEA2621295_METAG_EFHEAJNM-contigs.db
Alteromonas_macleodii_SAMEA2621423	TARA_SAMEA2621423_METAG_ACNBNNHJ-contigs.db
Alteromonas_sp_SAMEA2621487	TARA_SAMEA2621487_METAG_JEJEPAEM-contigs.db
Alteromonas_australica_SAMEA2621779	TARA_SAMEA2621779_METAG_AKPKIDGA-contigs.db
Alteromonas_sp_SAMEA2621779_BKOBJOML	TARA_SAMEA2621779_METAG_BKOBJOML-contigs.db
Alteromonas_sp_SAMEA2621779	TARA_SAMEA2621779_METAG_DHJPEKIP-contigs.db
Alteromonas_australica_SAMEA2621812	TARA_SAMEA2621812_METAG_NKJCGLGA-contigs.db
Alteromonas_sp_SAMEA2621839	TARA_SAMEA2621839_METAG_MGLIPNEN-contigs.db
Alteromonas_macleodii_SAMEA2621839	TARA_SAMEA2621839_METAG_PGLOPPIJ-contigs.db
Alteromonas_australica_SAMEA2622048	TARA_SAMEA2622048_METAG_DBDFGENL-contigs.db
Alteromonas_sp_SAMEA2622048	TARA_SAMEA2622048_METAG_IMLALHCJ-contigs.db
Alteromonas_australica_SAMEA2622074	TARA_SAMEA2622074_METAG_LMCNBJON-contigs.db
Alteromonas_australica_SAMEA2622097	TARA_SAMEA2622097_METAG_CBGOIALJ-contigs.db
Alteromonas_macleodii_SAMEA2622097	TARA_SAMEA2622097_METAG_CJDFGJHP-contigs.db
Alteromonas_sp_SAMEA2622097	TARA_SAMEA2622097_METAG_HBPMPIGL-contigs.db
Alteromonas_australica_SAMEA2622119	TARA_SAMEA2622119_METAG_AHJCKKBI-contigs.db
Alteromonas_macleodii_SAMEA2622119	TARA_SAMEA2622119_METAG_BOODJKMH-contigs.db
Alteromonas_australica_SAMEA2622149	TARA_SAMEA2622149_METAG_IIKHAJAF-contigs.db
Alteromonas_macleodii_SAMEA2622149	TARA_SAMEA2622149_METAG_NNHLKHHL-contigs.db
Alteromonas_sp_SAMEA2622149	TARA_SAMEA2622149_METAG_PCNPJDCB-contigs.db
Alteromonas_macleodii_SAMEA2622197	TARA_SAMEA2622197_METAG_BDHOEKBL-contigs.db
Alteromonas_sp_SAMEA2622197	TARA_SAMEA2622197_METAG_GALLFCOI-contigs.db
Alteromonas_sp_SAMEA2622219	TARA_SAMEA2622219_METAG_IJFLGBIM-contigs.db
Alteromonas_macleodii_SAMEA2622219	TARA_SAMEA2622219_METAG_OLKBBLOM-contigs.db
Alteromonas_macleodii_SAMEA2622336	TARA_SAMEA2622336_METAG_IANBPKNL-contigs.db
Alteromonas_macleodii_SAMEA2622357	TARA_SAMEA2622357_METAG_MMNPPCIF-contigs.db
Alteromonas_sp_SAMEA2622362	TARA_SAMEA2622362_METAG_AJKIKLCN-contigs.db
Alteromonas_macleodii_SAMEA2622376	TARA_SAMEA2622376_METAG_BHCALEEO-contigs.db
Alteromonas_sp_SAMEA2622376	TARA_SAMEA2622376_METAG_LCDBHBPD-contigs.db
Alteromonas_australica_SAMEA2622402	TARA_SAMEA2622402_METAG_IKPHBABN-contigs.db
Alteromonas_macleodii_SAMEA2622402	TARA_SAMEA2622402_METAG_LANBCGIM-contigs.db
Alteromonas_macleodii_SAMEA2622429	TARA_SAMEA2622429_METAG_FNNAGCCN-contigs.db
Alteromonas_sp_SAMEA2622429	TARA_SAMEA2622429_METAG_LGIPLECH-contigs.db
Alteromonas_macleodii_SAMEA2622478	TARA_SAMEA2622478_METAG_OEBMNELG-contigs.db
Alteromonas_macleodii_SAMEA2622499	TARA_SAMEA2622499_METAG_AGKMCDCN-contigs.db
Alteromonas_australica_SAMEA2622499	TARA_SAMEA2622499_METAG_BNLJGNGC-contigs.db
Alteromonas_macleodii_SAMEA2622545	TARA_SAMEA2622545_METAG_KEGJKDAO-contigs.db
Alteromonas_macleodii_SAMEA2622568	TARA_SAMEA2622568_METAG_DIBMGPDO-contigs.db
Alteromonas_sp_SAMEA2622652	TARA_SAMEA2622652_METAG_NHABKKKL-contigs.db
Alteromonas_australica_SAMEA2622656	TARA_SAMEA2622656_METAG_ONBBOINN-contigs.db
Alteromonas_sp_SAMEA2622658	TARA_SAMEA2622658_METAG_OHKNJPFH-contigs.db
Alteromonas_australica_SAMEA2622673	TARA_SAMEA2622673_METAG_KABGAJCP-contigs.db
Alteromonas_sp_SAMEA2622676	TARA_SAMEA2622676_METAG_BIMHMBHP-contigs.db
Alteromonas_macleodii_SAMEA2622676	TARA_SAMEA2622676_METAG_KGFLKMBD-contigs.db
Alteromonas_sp_SAMEA2622677	TARA_SAMEA2622677_METAG_JBANDMDG-contigs.db
Alteromonas_macleodii_SAMEA2622677	TARA_SAMEA2622677_METAG_NFILEFMO-contigs.db
Alteromonas_australica_SAMEA2622678	TARA_SAMEA2622678_METAG_EMNMIPDN-contigs.db
Alteromonas_macleodii_SAMEA2622678	TARA_SAMEA2622678_METAG_NJLMMAFG-contigs.db
Alteromonas_australica_SAMEA2622690	TARA_SAMEA2622690_METAG_DLAHHAJP-contigs.db
Alteromonas_sp_SAMEA2622690	TARA_SAMEA2622690_METAG_ILHJBOEO-contigs.db
Alteromonas_macleodii_SAMEA2622694	TARA_SAMEA2622694_METAG_CCCHGPBM-contigs.db
Alteromonas_sp_SAMEA2622694	TARA_SAMEA2622694_METAG_CMKJNKIK-contigs.db
Alteromonas_australica_SAMN05326644	TARA_SAMN05326644_METAG_PON00061-contigs.db
Alteromonas_sp_SAMN05326645	TARA_SAMN05326645_METAG_PSE00118-contigs.db
Alteromonas_sp_SAMN05326649	TARA_SAMN05326649_METAG_SOC00002-contigs.db
Alteromonas_mediterranea_SAMN05326650	TARA_SAMN05326650_METAG_MED00137-contigs.db
Alteromonas_macleodii_SAMEA2622696	TARA_SAMEA2622696_METAG_PINHKBMF-contigs.db
Alteromonas_australica_SAMEA2622716	TARA_SAMEA2622716_METAG_EODCONKG-contigs.db
Alteromonas_macleodii_SAMEA2622716	TARA_SAMEA2622716_METAG_FPHJFONJ-contigs.db
Alteromonas_sp_SAMEA2622716	TARA_SAMEA2622716_METAG_LLMPBKJB-contigs.db
Alteromonas_macleodii_SAMEA2622733	TARA_SAMEA2622733_METAG_LJOLBPGP-contigs.db
Alteromonas_sp_SAMEA2622733	TARA_SAMEA2622733_METAG_NOPBGIBP-contigs.db
Alteromonas_macleodii_SAMEA2622736	TARA_SAMEA2622736_METAG_KEKDHEDF-contigs.db
Alteromonas_australica_SAMEA2622737	TARA_SAMEA2622737_METAG_EHIMIIMP-contigs.db
Alteromonas_sp_SAMEA2622737	TARA_SAMEA2622737_METAG_KJIKBCNM-contigs.db
Alteromonas_macleodii_SAMEA2622737	TARA_SAMEA2622737_METAG_MKACOKCB-contigs.db
Alteromonas_macleodii_SAMEA2622738	TARA_SAMEA2622738_METAG_BIOCPOLN-contigs.db
Alteromonas_australica_SAMEA2622738	TARA_SAMEA2622738_METAG_JDKGJOOG-contigs.db
Alteromonas_macleodii_SAMEA2622763	TARA_SAMEA2622763_METAG_MBGICCKG-contigs.db
Alteromonas_macleodii_SAMEA2622765	TARA_SAMEA2622765_METAG_HBCOMCNP-contigs.db
Alteromonas_sp_SAMEA2622765	TARA_SAMEA2622765_METAG_KBIKNAHF-contigs.db
Alteromonas_macleodii_SAMEA2622799	TARA_SAMEA2622799_METAG_POKHDFDG-contigs.db
Alteromonas_macleodii_SAMEA2622800	TARA_SAMEA2622800_METAG_PLGNBFNB-contigs.db
Alteromonas_sp_SAMEA2622801	TARA_SAMEA2622801_METAG_IFPFBHNC-contigs.db
Alteromonas_australica_SAMEA2622801	TARA_SAMEA2622801_METAG_LFPDDPPB-contigs.db
Alteromonas_macleodii_SAMEA2622801	TARA_SAMEA2622801_METAG_OACOIKDG-contigs.db
Alteromonas_macleodii_SAMEA2622821	TARA_SAMEA2622821_METAG_DGNNOPLM-contigs.db
Alteromonas_macleodii_SAMEA2622823	TARA_SAMEA2622823_METAG_GLPNBIDC-contigs.db
Alteromonas_australica_SAMEA2622823	TARA_SAMEA2622823_METAG_PBNJCJBB-contigs.db
Alteromonas_macleodii_SAMEA2622837	TARA_SAMEA2622837_METAG_AJLMAJKC-contigs.db
Alteromonas_sp_SAMEA2622843	TARA_SAMEA2622843_METAG_DPGBJJPG-contigs.db
Alteromonas_macleodii_SAMEA2622843	TARA_SAMEA2622843_METAG_KKMNMCOG-contigs.db
Alteromonas_australica_SAMEA2622923	TARA_SAMEA2622923_METAG_FFMAPNPA-contigs.db
Alteromonas_sp_SAMEA2622923	TARA_SAMEA2622923_METAG_HGEKPCMK-contigs.db
Alteromonas_macleodii_SAMEA2622923	TARA_SAMEA2622923_METAG_PHDMIKKF-contigs.db
Alteromonas_macleodii_SAMEA2623098	TARA_SAMEA2623098_METAG_BOAFAAIF-contigs.db
Alteromonas_sp_SAMEA2623098	TARA_SAMEA2623098_METAG_EGJHKEDJ-contigs.db
Alteromonas_australica_SAMEA2623135	TARA_SAMEA2623135_METAG_DJILNNCH-contigs.db
Alteromonas_macleodii_SAMEA2623155	TARA_SAMEA2623155_METAG_HDJJLLJM-contigs.db
Alteromonas_australica_SAMEA2623295	TARA_SAMEA2623295_METAG_JAJGGAMP-contigs.db
Alteromonas_macleodii_SAMEA2623295	TARA_SAMEA2623295_METAG_KGDGGJKN-contigs.db
Alteromonas_macleodii_SAMEA2623314	TARA_SAMEA2623314_METAG_CFMLMODN-contigs.db
Alteromonas_sp_SAMEA2623314	TARA_SAMEA2623314_METAG_DIEBDOOH-contigs.db
Alteromonas_australica_SAMEA2623314	TARA_SAMEA2623314_METAG_DPHFBFLK-contigs.db
Alteromonas_macleodii_SAMEA2623370	TARA_SAMEA2623370_METAG_BGGPHFHM-contigs.db
Alteromonas_macleodii_SAMEA2623390	TARA_SAMEA2623390_METAG_LDEBDOEH-contigs.db
Alteromonas_australica_SAMEA2623426	TARA_SAMEA2623426_METAG_KGGHKKNJ-contigs.db
Alteromonas_macleodii_SAMEA2623513	TARA_SAMEA2623513_METAG_EOFNCJHB-contigs.db
Alteromonas_australica_SAMEA2623513	TARA_SAMEA2623513_METAG_PGGKNGAJ-contigs.db
